Name,Symbol,Price (USD),24h Change (%),7d Change (%),Market Cap,24h Volume,Timestamp
USDC,USDC,0.9999,0.00054,0.004932259094799,61891506351,7345082509,2025-07-10 02:30:45
TRON,TRX,0.289854,0.85536,1.975851162336541,27467979253,459537363,2025-07-10 02:30:45
Dogecoin,DOGE,0.182064,6.49327,6.529563062459682,27303390240,1822613089,2025-07-10 02:30:45
Lido Staked Ether,STETH,2778.88,6.49288,7.084624787602531,25363369085,40088866,2025-07-10 02:30:45
Bitcoin,BTC,111495.0,2.38034,2.127317033290122,2218102327615,36680001407,2025-07-10 02:31:46
Ethereum,ETH,2779.68,6.40352,7.062715039144623,335634888121,26356160620,2025-07-10 02:31:46
Tether,USDT,1.0,0.00886,-0.0126645662375519,158702529179,67843554744,2025-07-10 02:31:46
XRP,XRP,2.41,4.69185,7.343855798445404,142643343000,4372338530,2025-07-10 02:31:46
BNB,BNB,669.76,1.44057,1.129294614235026,97707297018,852968746,2025-07-10 02:31:46
Solana,SOL,157.46,3.86832,2.4903240781754827,84436034090,5334278740,2025-07-10 02:31:46
USDC,USDC,0.9999,0.00061,0.00500773585983,61891506351,7369559193,2025-07-10 02:31:46
TRON,TRX,0.289834,0.84853,1.9689377378606567,27468620143,462102602,2025-07-10 02:31:46
Dogecoin,DOGE,0.181996,6.44545,6.48970509956744,27303390240,1822687988,2025-07-10 02:31:46
Lido Staked Ether,STETH,2775.98,6.38182,6.972943877154068,25363369085,41145968,2025-07-10 02:31:46
Bitcoin,BTC,111499.0,2.38373,2.1307016314399774,2218102327615,36631970256,2025-07-10 02:32:47
Ethereum,ETH,2779.76,6.40134,7.065854492681835,335634888121,26246400619,2025-07-10 02:32:47
Tether,USDT,1.0,0.00885,-0.012675862202574,158702529179,67864376514,2025-07-10 02:32:47
